"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","taxon","trainingExamples","spatialResolution","learningRate","treeComplexity","nTrees","GBMemory","numPredictors","cells"
"92",29.5639999999999,21.7449999999999,5.94399999999996,1.84700000000021,0.765905131427947,1,"Picea",1000,0.5,0.005,2,NA,3.75,5,35000
"93",28.0980000000004,20.0079999999998,6.09099999999989,1.97300000000041,0.772267263250454,1,"Picea",1000,0.5,0.005,2,NA,3.75,5,35000
"94",30.2849999999999,22.1820000000002,6.23000000000002,1.846,0.77038275315591,1,"Picea",1000,0.5,0.005,2,NA,3.75,5,35000
"95",504.726,490.08,12.7650000000003,1.83300000000008,0.788687677771602,1,"Picea",6000,0.5,0.005,2,NA,3.75,5,35000
"96",572.136,557.554,12.7039999999997,1.83000000000084,0.811114268539264,1,"Picea",6000,0.5,0.005,2,NA,3.75,5,35000
"97",483.913,470.203,11.8249999999998,1.83600000000024,0.792698272199746,1,"Picea",6000,0.5,0.005,2,NA,3.75,5,35000
"98",1353.606,1336.932,14.8009999999995,1.81700000000001,0.804356175665693,1,"Picea",11000,0.5,0.005,2,NA,3.75,5,35000
"99",995.183,981.375,11.9340000000002,1.82499999999982,0.799869128280547,1,"Picea",11000,0.5,0.005,2,NA,3.75,5,35000
"100",1338.505,1322.098,14.4950000000008,1.85900000000038,0.815985582232964,1,"Picea",11000,0.5,0.005,2,NA,3.75,5,35000
"101",25.1620000000003,17.3089999999993,5.95399999999972,1.87200000000121,0.773871131812687,1,"Picea",1000,0.5,0.005,3,NA,3.75,5,35000
"102",34.0160000000014,24.7330000000002,7.3130000000001,1.91899999999987,0.765752561690562,1,"Picea",1000,0.5,0.005,3,NA,3.75,5,35000
"103",28.4979999999996,19.985999999999,5.98099999999977,2.50200000000041,0.774706732234759,1,"Picea",1000,0.5,0.005,3,NA,3.75,5,35000
"104",496.447,481.624,12.8790000000008,1.87199999999939,0.806636049687484,1,"Picea",6000,0.5,0.005,3,NA,3.75,5,35000
"105",498.341,483.768,12.6679999999997,1.86300000000119,0.81744007172902,1,"Picea",6000,0.5,0.005,3,NA,3.75,5,35000
"106",515.759,499.309000000001,14.1709999999985,2.23800000000119,0.793262074009063,1,"Picea",6000,0.5,0.005,3,NA,3.75,5,35000
"107",1326.452,1308.19,16.3259999999991,1.875,0.813916532692435,1,"Picea",11000,0.5,0.005,3,NA,3.75,5,35000
"108",1447.904,1429.491,16.469000000001,1.8809999999994,0.815871720299265,1,"Picea",11000,0.5,0.005,3,NA,3.75,5,35000
"109",1515.357,1494.386,18.0689999999995,2.84700000000157,0.814383773751965,1,"Picea",11000,0.5,0.005,3,NA,3.75,5,35000
"110",40.7989999999991,29.6669999999995,8.96700000000055,2.10299999999916,0.773762717605377,1,"Picea",1000,0.5,0.005,4,NA,3.75,5,35000
"111",28.2520000000004,18.4090000000015,7.45799999999872,2.35200000000077,0.779484985353952,1,"Picea",1000,0.5,0.005,4,NA,3.75,5,35000
"112",31.5609999999997,20.7189999999991,8.60900000000038,2.20299999999952,0.771271213576969,1,"Picea",1000,0.5,0.005,4,NA,3.75,5,35000
"113",560.98,544.714,14.1669999999995,2.02700000000004,0.813046695202378,1,"Picea",6000,0.5,0.005,4,NA,3.75,5,35000
"114",475.019,459.754000000001,12.8949999999986,2.32300000000032,0.798585025805015,1,"Picea",6000,0.5,0.005,4,NA,3.75,5,35000
"115",489.821,474.531000000001,13.3579999999984,1.88600000000042,0.810334358128492,1,"Picea",6000,0.5,0.005,4,NA,3.75,5,35000
"116",1328.71,1311.221,15.5169999999998,1.91600000000108,0.821768995469208,1,"Picea",11000,0.5,0.005,4,NA,3.75,5,35000
"117",1495.631,1477.738,15.9900000000016,1.84899999999834,0.826571185303729,1,"Picea",11000,0.5,0.005,4,NA,3.75,5,35000
"118",1402.63,1384.762,15.9459999999999,1.86100000000079,0.830190548102439,1,"Picea",11000,0.5,0.005,4,NA,3.75,5,35000
"119",28.0640000000021,19.4559999999983,6.30600000000049,2.27500000000146,0.777539798533238,1,"Picea",1000,0.5,0.005,5,NA,3.75,5,35000
"120",27.4680000000008,19.6179999999986,5.90500000000247,1.91400000000067,0.761168552135403,1,"Picea",1000,0.5,0.005,5,NA,3.75,5,35000
"121",27.270999999997,19.0250000000015,5.95899999999892,2.2589999999982,0.770293972240939,1,"Picea",1000,0.5,0.005,5,NA,3.75,5,35000
"122",523.954999999998,508.369000000002,13.4369999999981,2.10599999999977,0.815091252387063,1,"Picea",6000,0.5,0.005,5,NA,3.75,5,35000
"123",588.136999999999,572.388999999999,13.8660000000018,1.83999999999651,0.811437854012101,1,"Picea",6000,0.5,0.005,5,NA,3.75,5,35000
"124",508.495999999999,493.031999999999,13.1640000000007,2.25500000000102,0.81815618247866,1,"Picea",6000,0.5,0.005,5,NA,3.75,5,35000
"125",1535.526,1516.528,16.6990000000005,2.24300000000221,0.825094789578182,1,"Picea",11000,0.5,0.005,5,NA,3.75,5,35000
"126",1313.45,1295.782,15.0949999999975,2.52000000000044,0.81814646754959,1,"Picea",11000,0.5,0.005,5,NA,3.75,5,35000
"127",1371.426,1353.188,16.005000000001,2.17799999999988,0.829808454768978,1,"Picea",11000,0.5,0.005,5,NA,3.75,5,35000
"128",56.9359999999979,45.232,9.59200000000055,2.08199999999852,0.729313230255587,1,"Picea",1000,0.5,0.001,1,NA,3.75,5,35000
"129",52.1819999999971,40.9490000000005,8.93100000000049,2.24299999999857,0.748970606474017,1,"Picea",1000,0.5,0.001,1,NA,3.75,5,35000
"130",134.083000000002,118.228000000003,13.614999999998,2.20800000000236,0.75063326743347,1,"Picea",1000,0.5,0.001,1,NA,3.75,5,35000
"131",628.982,613.850999999999,13.1879999999983,1.8760000000002,0.7512366103735,1,"Picea",6000,0.5,0.001,1,NA,3.75,5,35000
"132",572.600000000002,557.772000000001,12.9019999999982,1.88000000000102,0.745759773610028,1,"Picea",6000,0.5,0.001,1,NA,3.75,5,35000
"133",638.917999999998,622.473999999998,13.8349999999991,2.55299999999988,0.751353938850018,1,"Picea",6000,0.5,0.001,1,NA,3.75,5,35000
"134",1247.095,1231.292,13.8259999999973,1.91200000000026,0.746826928156158,1,"Picea",11000,0.5,0.001,1,NA,3.75,5,35000
"135",1283.124,1266.632,14.5119999999988,1.90999999999985,0.754080931618233,1,"Picea",11000,0.5,0.001,1,NA,3.75,5,35000
"136",1277.975,1261.667,14.2489999999998,1.98800000000119,0.762347020810324,1,"Picea",11000,0.5,0.001,1,NA,3.75,5,35000
"137",162.686000000002,144.172999999999,16.5329999999994,1.93800000000192,0.769240677752004,1,"Picea",1000,0.5,0.001,2,NA,3.75,5,35000
"138",83.0959999999977,69.6630000000005,11.4579999999987,1.90899999999965,0.76294498381877,1,"Picea",1000,0.5,0.001,2,NA,3.75,5,35000
"139",186.103999999999,165.294999999998,18.4840000000004,2.2960000000021,0.77015171135403,1,"Picea",1000,0.5,0.001,2,NA,3.75,5,35000
