"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"161",3791,34.729,25.79,6.83699999999999,2.07099999999997,0.75052601238993,1,"Picea",5,500,8750,1,4,3791,0.1,161
"162",3842,8.57500000000002,1.905,4.506,1.965,0.687391450471199,0.5,"Picea",5,50,35000,1,6,3842,0.1,162
"163",3895,23.285,1.68799999999999,19.694,1.87700000000001,0.702014326239315,0.1,"Picea",5,50,875000,1,6,3895,0.125,163
"164",3941,48.7080000000001,38.9250000000001,7.69100000000003,2.05399999999997,0.759754292301105,1,"Picea",5,500,8750,1,6,3941,0.1,164
"165",3942,49.552,37.485,9.90100000000007,2.13699999999994,0.767967065174123,0.5,"Picea",5,500,35000,1,6,3942,0.1,165
"166",3953,101.9,90.673,9.23799999999994,1.95800000000008,0.779598801490237,1,"Picea",5,1000,8750,1,6,3953,0.1,166
"167",3899,106.118,92.326,11.726,2.03399999999999,0.771785225272217,0.5,"Picea",5,1000,35000,1,6,3899,0.0909090909090909,167
"168",3849,77.392,23.595,51.837,1.934,0.752931025521893,0.1,"Picea",5,500,875000,1,6,3849,0.1,168
"169",3923,8.06100000000004,1.15099999999995,5.03899999999999,1.84500000000003,0.695393144452547,0.25,"Picea",5,50,140000,1,6,3923,0.142857142857143,169
"170",3879,59.143,38.698,18.298,2.11099999999999,0.771777566024981,0.25,"Picea",5,500,140000,1,6,3879,0.1,170
"171",3928,7.976,1.82799999999997,4.09000000000003,2.03099999999995,0.729863599103776,1,"Picea",5,50,8750,1,6,3928,0.1,171
"172",3867,86.765,66.683,18.101,1.94999999999999,0.774558044261396,0.25,"Picea",5,1000,140000,1,6,3867,0.1,172
"173",3891,170.167,80.737,87.257,2.14099999999996,0.768230550233278,0.1,"Picea",5,1000,875000,1,6,3891,0.1,173
"174",4034,13.6420000000001,4.58600000000001,6.87099999999998,2.15700000000004,0.695483055244063,0.5,"Picea",5,50,35000,2,2,4034,0.1,174
"175",4033,6.02700000000004,0.884999999999991,3.50900000000001,1.60400000000004,0.702715743056493,1,"Picea",5,50,8750,2,2,4033,0.1,175
"176",3959,9.50799999999998,1.65100000000001,5.78299999999999,1.875,0.685877832434461,0.25,"Picea",5,50,140000,2,2,3959,0.1,176
"177",3988,12.864,0.867999999999995,10.195,1.77500000000003,0.685679250212266,0.1,"Picea",5,50,875000,2,2,3988,0.111111111111111,177
"178",3963,38.077,23.142,13.209,1.69900000000001,0.759478721370729,0.25,"Picea",5,500,140000,2,2,3963,0.1,178
"179",4028,23.294,15.97,5.673,1.62299999999993,0.737552719139971,1,"Picea",5,500,8750,2,2,4028,0.1,179
"180",4067,60.53,51.8610000000001,7.125,1.51599999999996,0.77117269894749,1,"Picea",5,1000,8750,2,2,4067,0.1,180
"181",4064,110.557,95.811,12.6180000000001,2.07999999999993,0.775530634944773,0.5,"Picea",5,1000,35000,2,2,4064,0.1,181
