"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","numTrees","cores","GBMemory","taxon","method","trainingExamples","spatialResolution","numPredictors","cells"
"70",41.814,22.242,17.528,2.02100000000002,0.782402663242856,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"71",40.606,21.388,17.171,2.02299999999997,0.791497485669195,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"72",42.659,22.349,18.148,2.137,0.792596692770155,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"73",72.489,42.236,28.168,2.06099999999998,0.797004332704991,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"74",71.956,42.471,27.47,1.99099999999999,0.795787960966532,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"75",82.946,49.4069999999999,31.5110000000001,2.00400000000002,0.795448388857491,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"76",69.995,39.6460000000001,28.3109999999999,2.01400000000001,0.778203370914588,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"77",66.217,37.948,25.885,2.36000000000001,0.789333437591626,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"78",87.4060000000001,52.25,32.8390000000001,2.26900000000001,0.776455355822081,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"79",125.307,77.3249999999999,45.875,2.08200000000011,0.79971585606393,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"80",106.709,64.1719999999999,40.48,2.02800000000002,0.779968509821696,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"81",101.973,61.663,38.2839999999999,2.00300000000016,0.79107935226611,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"82",100.061,58.598,39.2170000000001,2.22399999999993,0.79109767121265,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"83",105.75,64.4580000000001,39.029,2.23199999999997,0.777223436582924,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"84",108.968,65.7349999999999,41.154,2.05400000000009,0.792361906430315,31000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"85",91.271,81.463,7.75,2.01199999999994,0.864634752537486,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"86",99.1870000000001,89.2719999999999,7.81500000000005,2.05600000000004,0.875847236054426,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"87",110.505,100.603,7.82199999999989,2.03300000000013,0.864984167292933,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"88",98.472,88.6310000000001,7.72000000000003,2.07600000000002,0.874371062666593,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"89",95.058,85.1089999999999,7.80300000000011,2.10200000000009,0.869877865536305,1000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"90",97.5919999999999,87.492,7.86799999999994,2.18900000000008,0.866644067731472,1000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"91",947.563,917.906,27.614,1.99699999999984,0.863995608418039,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"92",1243.559,1207.672,33.8379999999997,1.99299999999948,0.867481561755505,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"93",936.996,907.069,27.8279999999995,2.04100000000017,0.866065570636139,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"94",973.245,943.222000000001,27.9839999999995,1.99600000000009,0.861052860000631,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"95",922.005,892.727,27.1980000000003,2.02399999999943,0.868308210433339,11000,1,16,"Picea","PARALLEL",11000,0.5,5,35000
"96",900.014,870.964,27.0730000000003,1.92299999999977,0.864625091335801,11000,1,16,"Picea","SERIAL",11000,0.5,5,35000
"97",11.226,2.525,6.585,2.027,0.789654986212345,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"98",10.931,2.153,6.536,2.221,0.787718645136331,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"99",10.625,2.038,6.573,1.989,0.79252707042371,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"100",10.504,1.882,6.59,2.011,0.786749513432732,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"101",10.551,1.913,6.591,2.02500000000001,0.785466253864542,1000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"102",10.642,1.94499999999999,6.66600000000001,2.009,0.800241209040812,1000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"103",43.42,24.103,17.245,2.04899999999999,0.781793241798465,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"104",43.423,23.292,18.06,2.04900000000001,0.784527521387769,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"105",42.582,23.119,17.393,2.048,0.80033139694882,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"106",45.955,25.184,18.688,2.06100000000001,0.795543587906413,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"107",41.24,21.836,17.351,2.03099999999995,0.788414545676196,11000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"108",43.697,22.927,18.69,2.05799999999999,0.797298994009715,11000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"109",71.569,41.735,27.558,2.25299999999999,0.78801030231417,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"110",74.282,43.465,28.695,2.09800000000001,0.791313421499423,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"111",70.563,40.584,27.9390000000001,2.01799999999992,0.793845802723775,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"112",72.3190000000001,42.833,27.426,2.03800000000001,0.79405371088231,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"113",73.5830000000001,42.8,28.7220000000001,2.03899999999999,0.793225501669209,21000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
"114",72.9109999999999,42.8249999999999,27.982,2.08100000000002,0.785415623864285,21000,1,16,"Picea","SERIAL",1000,0.5,5,35000
"115",103.433,63.059,38.256,2.09500000000003,0.785656523032769,31000,1,16,"Picea","PARALLEL",1000,0.5,5,35000
