"","numPredictors","trainingExamples","cells","config","TotalRate","cores","GBMemory","accuracy","seconds","cost"
"11022",2,4000,1e+05,202,3.23646,17,18,0.666794240478469,2.98746856558228,9.66882251376442
"11023",3,4000,1e+05,202,3.23646,17,18,0.785017611291287,2.97838726916541,9.63943126116307
"11024",4,4000,1e+05,202,3.23646,17,18,0.835669759465341,2.94432573995099,9.52919248432179
"11025",5,4000,1e+05,202,3.23646,17,18,0.82889140297453,3.02389283920004,9.78670821835735
"11026",1,5000,1e+05,202,3.23646,17,18,0.620288854573868,3.27458582703072,10.5980660457518
"11027",2,5000,1e+05,202,3.23646,17,18,0.673864397057686,3.25976897104555,10.5501118840301
"11028",3,5000,1e+05,202,3.23646,17,18,0.792054071522022,3.24976869220233,10.5177463815652
"11029",4,5000,1e+05,202,3.23646,17,18,0.841638281669778,3.21542092826901,10.4065812175055
"11030",5,5000,1e+05,202,3.23646,17,18,0.834568432785439,3.29775669587112,10.6730576359191
"11031",1,6000,1e+05,202,3.23646,17,18,0.624360886064138,2.99113320866511,9.68068298451629
"11032",2,6000,1e+05,202,3.23646,17,18,0.677899811121272,2.98292196814356,9.6541076330179
"11033",3,6000,1e+05,202,3.23646,17,18,0.796056220690515,2.96968583080322,9.61126940396139
"11034",4,6000,1e+05,202,3.23646,17,18,0.845039718615079,2.93016559286162,9.48336373467292
"11035",5,6000,1e+05,202,3.23646,17,18,0.837846702503524,2.98536739033666,9.66202214412898
"11036",1,7000,1e+05,202,3.23646,17,18,0.638686356364267,3.04127950725368,9.84297947404624
"11037",2,7000,1e+05,202,3.23646,17,18,0.692544680388083,3.03140602448046,9.81102434199003
"11038",3,7000,1e+05,202,3.23646,17,18,0.800840307963029,3.02523551241051,9.79105372649613
"11039",4,7000,1e+05,202,3.23646,17,18,0.849783383432773,2.98302085537526,9.65442767758781
"11040",5,7000,1e+05,202,3.23646,17,18,0.842591210066406,3.03630675234773,9.82688535170334
"11041",1,8000,1e+05,202,3.23646,17,18,0.643657907482875,3.2467147379223,10.507862380696
"11042",2,8000,1e+05,202,3.23646,17,18,0.701268330928011,3.23570625581697,10.4722338687014
