"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory","TotalRate","config"
"6795",4,136,19.9562297386605,11.9976853188827,0.704437871741108,4,14,0.6012,44
"6191",4,124,19.9754214368996,13.6104531502459,0.702855020456907,4,16,0.68136,45
"6043",4,121,19.9357732334612,15.1814900327454,0.703019510050447,4,18,0.76152,46
"6044",4,121,19.9539914265074,16.7948755038628,0.703025918347736,4,20,0.84168,47
"6045",4,121,19.9545116290307,18.3948670001056,0.703027766867731,4,22,0.92184,48
"342",4,7,19.9567173205236,2.99949461327469,0.690841763806063,5,2,0.1503,49
"734",4,147,19.9795397070119,5.00487469660648,0.703047688531924,5,4,0.2505,50
"7297",4,146,19.9492715146235,5.99675101729582,0.702995746672901,5,5,0.3006,51
"7298",4,146,19.9492715146235,6.99620952017846,0.702995746672901,5,6,0.3507,52
"709",4,142,19.996629284973,9.01648014459432,0.712399547721603,5,8,0.4509,53
"684",4,137,19.9881375044202,11.0154625786859,0.70308561016791,5,10,0.5511,54
"6841",4,137,19.9881375044202,13.0182739566288,0.70308561016791,5,12,0.6513,55
"6842",4,137,19.9888254217622,15.0216023044543,0.703410438436008,5,14,0.7515,56
"6192",4,124,19.9388024099143,16.981878012524,0.70174380814929,5,16,0.8517,57
"609",4,122,19.9777294700465,19.0168006825372,0.701987037776268,5,18,0.9519,58
"6091",4,122,19.995986004561,21.0377768753986,0.701993414035645,5,20,1.0521,59
"6092",4,122,19.9965073072598,23.0419753701555,0.70199525860488,5,22,1.1523,60
"343",4,7,19.9567173205236,3.59939353592963,0.690841763806063,6,2,0.18036,61
"7341",4,147,19.9795397070119,6.00584963592777,0.703047688531924,6,4,0.3006,62
"7299",4,146,19.9492715146235,7.19610122075498,0.702995746672901,6,5,0.36072,63
"72910",4,146,19.9492715146235,8.39545142421415,0.702995746672901,6,6,0.42084,64
"7091",4,142,19.996629284973,10.8197761735132,0.712399547721603,6,8,0.54108,65
"6843",4,137,19.9881375044202,13.2185550944231,0.70308561016791,6,10,0.66132,66
"6844",4,137,19.9881375044202,15.6219287479546,0.70308561016791,6,12,0.78156,67
"6845",4,137,19.9888254217622,18.0259227653452,0.703410438436008,6,14,0.9018,68
"6193",4,124,19.9388024099143,20.3782536150288,0.70174380814929,6,16,1.02204,69
"6093",4,122,19.9777294700465,22.8201608190447,0.701987037776268,6,18,1.14228,70
"6094",4,122,19.995986004561,25.2453322504783,0.701993414035645,6,20,1.26252,71
"6095",4,122,19.9965073072598,27.6503704441866,0.70199525860488,6,22,1.38276,72
"214",4,43,19.9522415356489,4.19835066393123,0.695614702611352,7,2,0.21042,73
"7342",4,147,19.960454899115,7.00013153311964,0.703387354459407,7,4,0.3507,74
