"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","cells"
"70",5.0570000000007,0.0139999999992142,3.07900000000063,1.94300000000021,0.722034276491067,1,4,1000,0.5,"Picea",35000
"71",5.61000000000058,0.0619999999998981,3.71799999999985,1.79400000000078,0.731594496331613,8,16,5000,0.5,"Picea",35000
"72",4.91300000000047,0.0200000000004366,2.92600000000039,1.94499999999971,0.728838485054095,1,4,1000,0.5,"Picea",35000
"73",5.72699999999986,0.204999999999927,3.6869999999999,1.80099999999948,0.74097425025788,8,16,5000,0.5,"Picea",35000
"74",4.82799999999952,0.0150000000003274,2.89399999999932,1.89699999999993,0.730529536044004,1,4,1000,0.5,"Picea",35000
"75",5.58600000000024,0.0599999999994907,3.6860000000006,1.80400000000009,0.739265566904199,8,16,5000,0.5,"Picea",35000
"76",4.8730000000005,0.0140000000001237,2.92799999999988,1.90900000000056,0.734327291562302,1,4,1000,0.5,"Picea",35000
"77",5.55300000000079,0.0590000000001965,3.64699999999993,1.8100000000004,0.731304640434193,8,16,5000,0.5,"Picea",35000
"78",4.85699999999997,0.0140000000001237,2.92099999999937,1.90100000000075,0.721860332031228,1,4,1000,0.5,"Picea",35000
"79",5.60800000000017,0.0650000000005093,3.70599999999922,1.80100000000039,0.729474790694834,8,16,5000,0.5,"Picea",35000
"80",4.87800000000061,0.0150000000003274,2.93299999999999,1.90800000000036,0.735881253328846,1,4,1000,0.5,"Picea",35000
"81",4.85499999999956,0.0250000000005457,2.91299999999956,1.89400000000023,0.72819273990441,1,4,2000,0.5,"Picea",35000
"82",4.9409999999998,0.0249999999996362,2.94400000000041,1.94899999999961,0.732274466959564,1,4,2000,0.5,"Picea",35000
"83",4.91499999999996,0.0249999999996362,2.97599999999966,1.89100000000053,0.737948895027624,1,4,2000,0.5,"Picea",35000
"84",5.16600000000017,0.0249999999996362,3.19500000000062,1.92100000000028,0.738518020295458,1,4,2000,0.5,"Picea",35000
"85",4.97200000000066,0.024000000000342,2.94700000000012,1.97800000000007,0.740796416432704,1,4,2000,0.5,"Picea",35000
"86",4.92600000000039,0.0250000000005457,2.98399999999947,1.89400000000023,0.727460847110651,1,4,2000,0.5,"Picea",35000
"87",5.04699999999957,0.0260000000007494,3.0679999999993,1.93000000000029,0.738547633953353,1,4,2000,0.5,"Picea",35000
"88",4.96100000000024,0.0239999999994325,2.97299999999996,1.94100000000071,0.730413405776493,1,4,2000,0.5,"Picea",35000
"89",5.37700000000041,0.0249999999996362,3.1869999999999,2.14200000000073,0.740603883053288,1,4,2000,0.5,"Picea",35000
"90",4.83899999999994,0.024000000000342,2.90099999999984,1.89099999999962,0.732341957986879,1,4,2000,0.5,"Picea",35000
"91",4.97299999999996,0.0600000000004002,2.96799999999985,1.91399999999976,0.73466963290372,1,4,5000,0.5,"Picea",35000
"92",4.98599999999988,0.0599999999994907,2.89500000000044,2.00099999999929,0.734735419487803,1,4,5000,0.5,"Picea",35000
"93",5.55500000000029,0.170999999999367,3.14800000000014,2.20600000000013,0.744189210086562,1,4,5000,0.5,"Picea",35000
"94",5.26899999999932,0.0579999999999927,2.93900000000031,2.24199999999928,0.739269743065432,1,4,5000,0.5,"Picea",35000
"95",4.99399999999969,0.0609999999996944,2.97000000000025,1.93199999999979,0.747265849139112,1,4,5000,0.5,"Picea",35000
