"","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","cores","GBMemory","trainingExamples","spatialResolution","taxon","numPredictors","cells"
"61",5.73199999999997,0.0069999999996071,3.69700000000012,2.0010000000002,0.711855425848508,8,16,2000,0.5,"Picea",5,35000
"62",5.08899999999994,0.00500000000010914,2.94499999999971,2.11700000000019,0.707250902799169,1,4,1000,0.5,"Picea",5,35000
"63",5.69300000000021,0.00700000000051659,3.64199999999983,2.01800000000003,0.716957910374158,8,16,2000,0.5,"Picea",5,35000
"64",5.16899999999987,0.00399999999990541,2.92999999999938,2.21200000000044,0.708708115133527,1,4,1000,0.5,"Picea",5,35000
"65",5.72600000000057,0.0120000000006257,3.67399999999998,2.00500000000011,0.71139284276135,8,16,5000,0.5,"Picea",5,35000
"66",5.02599999999984,0.00500000000010914,2.92000000000007,2.07999999999993,0.712270777748857,1,4,1000,0.5,"Picea",5,35000
"67",5.76500000000033,0.0119999999997162,3.69200000000001,2.02700000000004,0.707452178766283,8,16,5000,0.5,"Picea",5,35000
"68",5.47400000000016,0.00500000000010914,3.26500000000033,2.18299999999999,0.713755138008387,1,4,1000,0.5,"Picea",5,35000
"69",5.71199999999953,0.0109999999995125,3.67799999999988,1.98800000000028,0.72364873872503,8,16,5000,0.5,"Picea",5,35000
"70",5.15499999999975,0.00499999999919964,3.03200000000015,2.09400000000005,0.712386251135062,1,4,1000,0.5,"Picea",5,35000
"71",5.6899999999996,0.011000000000422,3.66499999999996,1.98099999999977,0.723913377681336,8,16,5000,0.5,"Picea",5,35000
"72",5.17900000000009,0.00399999999990541,3.01699999999983,2.13700000000063,0.704067614432522,1,4,1000,0.5,"Picea",5,35000
"73",5.78000000000065,0.0119999999997162,3.71199999999953,2.02100000000064,0.715271475054031,8,16,5000,0.5,"Picea",5,35000
"74",5.03899999999976,0.00499999999919964,2.91700000000037,2.09500000000025,0.703861943193622,1,4,1000,0.5,"Picea",5,35000
"75",5.24199999999928,0.00400000000081491,2.93499999999949,2.27999999999975,0.716410574030811,1,4,1000,0.5,"Picea",5,35000
"76",5.75900000000001,0.0120000000006257,3.69200000000001,2.01999999999953,0.715230546312291,8,16,5000,0.5,"Picea",5,35000
"77",5.25900000000001,0.00599999999940337,2.91200000000026,2.31800000000021,0.717704907764924,1,4,2000,0.5,"Picea",5,35000
"78",5.7510000000002,0.0109999999995125,3.71200000000044,1.99099999999999,0.714175697268954,8,16,5000,0.5,"Picea",5,35000
"79",5.05199999999968,0.00600000000031287,2.93900000000031,2.08299999999963,0.715036613171972,1,4,2000,0.5,"Picea",5,35000
"80",5.7510000000002,0.0109999999995125,3.67699999999968,2.02800000000025,0.707297793037723,8,16,5000,0.5,"Picea",5,35000
"81",5.20100000000002,0.00599999999940337,2.94200000000001,2.23000000000047,0.710060499005018,1,4,2000,0.5,"Picea",5,35000
"82",5.73899999999958,0.0120000000006257,3.68099999999959,2.01299999999992,0.713352700000709,8,16,5000,0.5,"Picea",5,35000
"83",5.03899999999976,0.00600000000031287,2.9340000000002,2.07399999999961,0.699466578146466,1,4,2000,0.5,"Picea",5,35000
"84",5.77799999999934,0.0119999999997162,3.71900000000005,2.01299999999992,0.703025195088813,8,16,5000,0.5,"Picea",5,35000
"85",5.3119999999999,0.0069999999996071,3.05600000000049,2.22599999999966,0.714130037228137,1,4,2000,0.5,"Picea",5,35000
"86",5.25399999999991,0.00600000000031287,3,2.22400000000016,0.712399185313724,1,4,2000,0.5,"Picea",5,35000
"87",5.10899999999947,0.00599999999940337,2.98199999999997,2.09699999999975,0.717668975822678,1,4,2000,0.5,"Picea",5,35000
"88",5.13299999999981,0.00600000000031287,2.9989999999998,2.10300000000007,0.719802247920021,1,4,2000,0.5,"Picea",5,35000
"89",5.00900000000001,0.00599999999940337,2.90300000000025,2.07600000000002,0.71195172774881,1,4,2000,0.5,"Picea",5,35000
"90",5.10199999999986,0.00599999999940337,2.96299999999974,2.10900000000038,0.714811781987196,1,4,2000,0.5,"Picea",5,35000
"91",5.10400000000027,0.0120000000006257,2.96000000000004,2.10099999999966,0.719965897384261,1,4,5000,0.5,"Picea",5,35000
"92",5.22099999999955,0.0119999999997162,2.99499999999989,2.1840000000002,0.721565102419812,1,4,5000,0.5,"Picea",5,35000
