"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"50001",5,1000,16.6127798018659,14.1491045572492,0.745930480792762,5,16
"605",5,121,21.9960969854125,20.9380847204142,0.701478101562151,5,18
"585",5,117,21.9992889500744,23.1454519043733,0.701252718623286,5,20
"5851",5,117,21.9937084655833,25.3433502648916,0.701287803501148,5,22
"8451",5,169,21.9369667760664,3.95655132773134,0.718986675968389,6,2
"7701",5,154,21.9925323172643,6.61095521456966,0.705260635285568,6,4
"6802",5,136,21.9394859409575,7.91401136862217,0.704369606750488,6,5
"6803",5,136,21.9394859409575,9.23301326339253,0.704369606750488,6,6
"5801",5,116,21.9675140358649,11.8861824945258,0.702720313096374,6,8
"5652",5,113,21.9959576507585,14.5463667135996,0.702288286179068,6,10
"5653",5,113,21.9959576507585,17.1911606615268,0.702288286179068,6,12
"5951",5,119,21.9256696319552,19.7725688740972,0.70314736954833,6,14
"50002",5,1000,16.6127798018659,16.9789254686991,0.745930480792762,6,16
"6051",5,121,21.9960969854125,25.125701664497,0.701478101562151,6,18
"5852",5,117,21.9992889500744,27.774542285248,0.701252718623286,6,20
"5853",5,117,21.9937084655833,30.4120203178699,0.701287803501148,6,22
"1305",5,261,21.9462580258682,4.61793161380318,0.729425783403403,7,2
"960",5,192,21.9769900694933,7.7073304173713,0.711411782192334,7,4
"860",5,172,21.9801442068054,9.25012388799199,0.710451249798497,7,5
"8601",5,172,21.9801442068054,10.7918112026573,0.710451249798497,7,6
"745",5,149,21.9995809003113,13.8874554391305,0.708628686886364,7,8
"705",5,141,21.9644653294583,16.9464635802903,0.707811473473954,7,10
"7051",5,141,21.9644653294583,20.0276387767067,0.707811473473954,7,12
"725",5,145,21.9507671478059,23.0944021162066,0.708955997685687,7,14
"30000",5,6000,7.81592890423973,9.31955730683737,0.742484266941675,7,16
"735",5,147,21.9687150688535,29.2768278236584,0.706120123756076,7,18
"710",5,142,21.9307283366488,32.3026469961835,0.705821579208655,7,20
"720",5,144,21.9559361635918,35.4197553378296,0.706023911481074,7,22
"13051",5,261,21.9462580258682,5.27763613006078,0.729425783403403,8,2
"9601",5,192,21.9769900694933,8.80837761985291,0.711411782192334,8,4
"8602",5,172,21.9801442068054,10.5715701577051,0.710451249798497,8,5
"8603",5,172,21.9801442068054,12.3334985173227,0.710451249798497,8,6
"7451",5,149,21.9995809003113,15.8713776447206,0.708628686886364,8,8
"7052",5,141,21.9644653294583,19.3673869489032,0.707811473473954,8,10
"7053",5,141,21.9644653294583,22.8887300305219,0.707811473473954,8,12
"7251",5,145,21.9507671478059,26.3936024185218,0.708955997685687,8,14
"300001",5,6000,7.81592890423973,10.6509226363856,0.742484266941675,8,16
"7351",5,147,21.9687150688535,33.4592317984667,0.706120123756076,8,18
"7101",5,142,21.9307283366488,36.9173108527811,0.705821579208655,8,20
"7201",5,144,21.9559361635918,40.479720386091,0.706023911481074,8,22
"13052",5,261,21.9462580258682,5.93734064631838,0.729425783403403,9,2
