siteName,latitude,longitude,age,pollenPercentage,presence,bio2,bio7,bio8,bio15,bio18,bio19
China Camp,38.0075,-122.493333333,4739.0,0.239234449761,0,-65.545,10.18,14.786666666666667,24.533599782080977,13.806666666666667,26.126666666666665
China Camp,38.0075,-122.493333333,5089.0,0.243902439024,0,-66.16083333333334,10.48,16.649999999999999,26.001759746990089,14.313333333333333,26.540000000000003
China Camp,38.0075,-122.493333333,6543.0,2.57142857143,1,-65.02583333333332,10.529999999999999,15.409999999999998,27.040436783380876,12.666666666666666,26.98
China Camp,38.0075,-122.493333333,7241.0,1.38121546961,1,-78.61333333333334,10.5,15.256666666666666,26.857169629480669,13.293333333333335,26.753333333333334
China Camp,38.0075,-122.493333333,7598.0,4.50236966825,1,-69.68416666666667,11.299999999999999,15.973333333333334,28.403293260461197,12.623333333333333,27.066666666666663
China Camp,38.0075,-122.493333333,8062.0,3.1914893617,1,-58.88583333333333,10.84,14.549999999999999,26.744243714483119,13.680000000000001,26.646666666666665
China Camp,38.0075,-122.493333333,9053.0,3.61247947455,1,-55.83083333333334,12.49,14.033333333333331,29.189058151598424,13.230000000000002,27.746666666666666
China Camp,38.0075,-122.493333333,9264.0,1.53452685422,1,-75.97416666666668,11.010000000000002,17.289999999999999,27.616806656312896,13.003333333333332,27.196666666666669
China Camp,38.0075,-122.493333333,10310.0,9.95024875622,1,-71.78333333333335,11.31,16.176666666666666,28.697136800961626,13.0,27.053333333333331
China Camp,38.0075,-122.493333333,10758.0,7.11382113821,1,-70.59833333333334,11.93,15.986666666666665,30.770765372753782,11.983333333333334,27.700000000000003
China Camp,38.0075,-122.493333333,10910.0,7.4812967581,1,-72.48583333333336,12.050000000000001,14.406666666666666,28.023335223826439,13.163333333333334,27.416666666666668
China Camp,38.0075,-122.493333333,11643.0,4.98220640569,1,-61.92000000000001,11.25,15.693333333333333,30.489149383924563,11.396666666666667,26.796666666666667
China Camp,38.0075,-122.493333333,12158.0,1.02040816327,1,-78.26666666666667,10.66,13.303333333333333,29.387623690584014,12.226666666666667,26.013333333333332
China Camp,38.0075,-122.493333333,12521.0,1.40845070423,1,-77.70833333333334,11.470000000000001,13.770000000000001,30.132678166672843,11.483333333333334,26.49666666666667
