"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory","TotalRate","config"
"68557",5,1371,19.9972117106902,0.104082147419787,0.794526892999926,11,16,0.005204833,129
"9355",5,1871,19.9974778010399,0.116328667947442,0.805026064498606,11,18,0.005817167,130
"93551",5,1871,19.9974778010399,0.128573783521786,0.805026064498606,11,20,0.0064295,131
"93552",5,1871,19.9974778010399,0.14081889909613,0.805026064498606,11,22,0.007041833,132
"27965",5,5593,19.9963635798168,0.0200363563069764,0.83306084021124,12,2,0.001002,133
"7050",5,1410,19.9904079613163,0.0333839812953983,0.79485395856286,12,4,0.00167,134
"70501",5,1410,19.9904079613163,0.0400607775544779,0.79485395856286,12,5,0.002004,135
"70502",5,1410,19.9904079613163,0.0467375738135576,0.79485395856286,12,6,0.002338,136
"70503",5,1410,19.9904079613163,0.0600911663317169,0.79485395856286,12,8,0.003006,137
"70504",5,1410,19.9904079613163,0.0734447588498762,0.79485395856286,12,10,0.003674,138
"70505",5,1410,19.9904079613163,0.0867983513680355,0.79485395856286,12,12,0.004342,139
"70506",5,1410,19.9904079613163,0.100151943886195,0.79485395856286,12,14,0.00501,140
"70507",5,1410,19.9904079613163,0.113505536404354,0.79485395856286,12,16,0.005678,141
"9595",5,1919,19.9996381564441,0.126917703740794,0.804029415699672,12,18,0.006346,142
"95951",5,1919,19.9996381564441,0.140277462029299,0.804029415699672,12,20,0.007014,143
"95952",5,1919,19.9996381564441,0.153637220317803,0.804029415699672,12,22,0.007682,144
"27785",5,5557,19.9960876794225,0.0217057531760131,0.832807872675256,13,2,0.0010855,145
"6995",5,1399,19.9935480618755,0.036171667366459,0.794513535555402,13,4,0.001809167,146
"69951",5,1399,19.9935480618755,0.0434059928423316,0.794513535555402,13,5,0.002171,147
"69952",5,1399,19.9935480618755,0.0506403183182042,0.794513535555402,13,6,0.002532833,148
"69953",5,1399,19.9935480618755,0.0651089892634974,0.794513535555402,13,8,0.0032565,149
"69954",5,1399,19.9935480618755,0.0795776602087907,0.794513535555402,13,10,0.003980167,150
"69955",5,1399,19.9935480618755,0.0940463111605358,0.794513535555402,13,12,0.004703833,151
"69956",5,1399,19.9935480618755,0.108514982105829,0.794513535555402,13,14,0.0054275,152
"69957",5,1399,19.9935480618755,0.122983653051122,0.794513535555402,13,16,0.006151167,153
"9535",5,1907,19.9926800853658,0.137446336809316,0.803669989503741,13,18,0.006874833,154
"95351",5,1907,19.9926800853658,0.151914379628652,0.803669989503741,13,20,0.0075985,155
"95352",5,1907,19.9926800853658,0.166382422447989,0.803669989503741,13,22,0.008322167,156
"27665",5,5533,19.9957999347836,0.023375090123762,0.832696363899493,14,2,0.001169,157
"6905",5,1381,19.9927817118848,0.0389525963710617,0.794128843568576,14,4,0.001948333,158
"69051",5,1381,19.9927817118848,0.0467431236423867,0.794128843568576,14,5,0.002338,159
"69052",5,1381,19.9927817118848,0.0545336509137117,0.794128843568576,14,6,0.002727667,160
"69053",5,1381,19.9927817118848,0.07011468546358,0.794128843568576,14,8,0.003507,161
"69054",5,1381,19.9927817118848,0.0856957200134484,0.794128843568576,14,10,0.004286333,162
"69055",5,1381,19.9927817118848,0.101276774556098,0.794128843568576,14,12,0.005065667,163
"69056",5,1381,19.9927817118848,0.116857809105967,0.794128843568576,14,14,0.005845,164
"69057",5,1381,19.9927817118848,0.132438843655835,0.794128843568576,14,16,0.006624333,165
"9460",5,1892,19.9928512039045,0.148020412694258,0.803345965056897,14,18,0.007403667,166
"94601",5,1892,19.9928512039045,0.16360150140155,0.803345965056897,14,20,0.008183,167
"94602",5,1892,19.9928512039045,0.179182590108843,0.803345965056897,14,22,0.008962333,168
"275601",5,5512,19.9949119651824,0.0250436272363909,0.832573700427911,15,2,0.0012525,169
"6780",5,1356,19.998015584866,0.0417458575334077,0.793540982900333,15,4,0.0020875,170
"67801",5,1356,19.998015584866,0.0500950290400892,0.793540982900333,15,5,0.002505,171
"67802",5,1356,19.998015584866,0.0584442005467708,0.793540982900333,15,6,0.0029225,172
"67803",5,1356,19.998015584866,0.0751425435601338,0.793540982900333,15,8,0.0037575,173
"67804",5,1356,19.998015584866,0.0918408865734969,0.793540982900333,15,10,0.0045925,174
"67805",5,1356,19.998015584866,0.10853922958686,0.793540982900333,15,12,0.0054275,175
"67806",5,1356,19.998015584866,0.125237572600223,0.793540982900333,15,14,0.0062625,176
"67807",5,1356,19.998015584866,0.141935915613586,0.793540982900333,15,16,0.0070975,177
"9345",5,1869,19.9925419797151,0.15859083925409,0.802798642276913,15,18,0.0079325,178
"93451",5,1869,19.9925419797151,0.175284611807152,0.802798642276913,15,20,0.0087675,179
"93452",5,1869,19.9925419797151,0.191978384360214,0.802798642276913,15,22,0.0096025,180
"27375",5,5475,19.995366645154,0.0267138098379257,0.834210619581023,16,2,0.001336,181
"7610",5,1522,19.9950397896226,0.169184690008247,0.797422747316338,16,18,0.008461333,190
"76101",5,1522,19.9950397896226,0.186993612112551,0.797422747316338,16,20,0.009352,191
"76102",5,1522,19.9950397896226,0.204802534216854,0.797422747316338,16,22,0.010242667,192
"26880",5,5376,19.9929486551612,0.0283799906160014,0.833787581956817,17,2,0.0014195,193
"8230",5,1646,19.9913239057428,0.17972534046372,0.799872441623722,17,18,0.008990167,202
"82301",5,1646,19.9913239057428,0.198643789989414,0.799872441623722,17,20,0.0099365,203
"82302",5,1646,19.9913239057428,0.217562239515107,0.799872441623722,17,22,0.010882833,204
"26975",5,5395,19.9930127945912,0.0300494982302705,0.833847827486818,18,2,0.001503,205
"8350",5,1670,19.9918539957197,0.190302458185256,0.800348067906725,18,18,0.009519,214
"83501",5,1670,19.9918539957197,0.210334295888967,0.800348067906725,18,20,0.010521,215
"83502",5,1670,19.9918539957197,0.230366133592678,0.800348067906725,18,22,0.011523,216
"27085",5,5417,19.9946354220054,0.0317214890970116,0.833968526377685,19,2,0.0015865,217
"8315",5,1663,19.9949699771749,0.200906119170667,0.800156619109278,19,18,0.010047833,226
"83151",5,1663,19.9949699771749,0.222054139081516,0.800156619109278,19,20,0.0111055,227
"83152",5,1663,19.9949699771749,0.243202158992364,0.800156619109278,19,22,0.012163167,228
"27105",5,5421,19.9934318514347,0.033389031191896,0.833986212703326,20,2,0.00167,229
"8375",5,1675,19.9948687374115,0.211479068344312,0.80040181322543,20,18,0.010576667,238
