"","numPredictors","trainingExamples","seconds","cost","accuracy","cores","GBMemory"
"90051",5,1801,21.9982496461855,14.5478824560154,0.804350838786631,11,5
"90052",5,1801,21.9982496461855,16.972529532018,0.804350838786631,11,6
"90053",5,1801,21.9982496461855,21.8218236840231,0.804350838786631,11,8
"90054",5,1801,21.9982496461855,26.6711178360283,0.804350838786631,11,10
"8355",5,1671,20.9314097883611,29.991779829351,0.80150670260176,11,12
"6655",5,1331,18.1412132371278,29.9928678449433,0.794068192579788,11,14
"5355",5,1071,16.0075335214788,29.9939558605356,0.788379920210044,11,16
"6790",5,1358,14.3228559662716,29.9946385074467,0.792040983617676,11,18
"5790",5,1158,12.9610253150543,29.999848414731,0.78766420094811,11,20
"5519",4,1104,11.8324138732242,29.9958791134557,0.778092440856421,11,22
"23515",5,4703,21.9992383548476,7.93556525936063,0.828249542973664,12,2
"9170",5,1834,21.9930539612263,13.2222240414893,0.805095417736018,12,4
"91701",5,1834,21.9930539612263,15.8666688497871,0.805095417736018,12,5
"91702",5,1834,21.9930539612263,18.511113658085,0.805095417736018,12,6
"91703",5,1834,21.9930539612263,23.8000032746807,0.805095417736018,12,8
"91704",5,1834,21.9930539612263,29.0888928912764,0.805095417736018,12,10
"7350",5,1470,19.1886524541916,29.9941664241959,0.797131836418377,12,12
"5690",5,1138,16.630791738984,29.9952959804316,0.789868350161627,12,14
"5114",4,1023,14.6725604478461,29.9918873602333,0.77896567601148,12,16
"5670",5,1134,13.1302635040963,29.9968747909182,0.787161722312715,12,18
"5239",4,1048,11.8801399795344,29.9978286539235,0.776890434375601,12,20
"23825",5,4765,21.9959156324344,8.59556391084272,0.828596546945503,13,2
"9355",5,1871,21.9973087869114,14.3268472129154,0.805828420045463,13,4
"93551",5,1871,21.9973087869114,17.1922166554985,0.805828420045463,13,5
"93552",5,1871,21.9973087869114,20.0575860980816,0.805828420045463,13,6
"93553",5,1871,21.9973087869114,25.7883249832477,0.805828420045463,13,8
"8655",5,1731,20.9349220532389,29.9968124132039,0.802765504154063,13,10
"6530",5,1306,17.7098194688759,29.989454092205,0.793467366626597,13,12
"5729",4,1146,15.3527420069769,29.9977226074321,0.781578530506422,13,14
