,,,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
ConfigurationNumber,CPUs,GBsMem,CPURate,MemoryRate,TotalRate,At SHC,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
10,1,18,0.01002,0.18036,0.19038,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.130824611,1,10,6.871762314,1.308246109
11,1,20,0.01002,0.2004,0.21042,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.144595623,1,10,6.871762314,1.445956226
12,1,22,0.01002,0.22044,0.23046,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.158366634,1,10,6.871762314,1.583666343
13,2,2,0.02004,0.04008,0.06012,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.041313035,1,10,6.871762314,0.41313035
14,2,4,0.02004,0.08016,0.1002,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.068855058,1,10,6.871762314,0.688550584
15,2,5,0.02004,0.1002,0.12024,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.08262607,1,10,6.871762314,0.826260701
16,2,6,0.02004,0.12024,0.14028,TRUE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.096397082,1,10,6.871762314,0.963970817
17,2,8,0.02004,0.16032,0.18036,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.123939105,1,10,6.871762314,1.239391051
18,2,10,0.02004,0.2004,0.22044,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.151481128,1,10,6.871762314,1.514811284
19,2,12,0.02004,0.24048,0.26052,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.179023152,1,10,6.871762314,1.790231518
20,2,14,0.02004,0.28056,0.3006,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.206565175,1,10,6.871762314,2.065651752
21,2,16,0.02004,0.32064,0.34068,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.234107199,1,10,6.871762314,2.341071985
22,2,18,0.02004,0.36072,0.38076,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.261649222,1,10,6.871762314,2.616492219
23,2,20,0.02004,0.4008,0.42084,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0.687176231,0.289191245,1,10,6.871762314,2.891912452
