,,,,,,,"SR1, NO: 50","SR:1, NO: 500","SR1, NO:1000","SR1, NO:10000","SR1, NO: 30000","SR0.5, NO: 50","SR:0.5, NO: 500","SR0.5, NO:1000","SR0.5, NO:10000","SR0.5, NO: 30000","SR0.25, NO: 50","SR:0.25, NO: 500","SR0.25, NO:1000","SR0.25, NO:10000","SR0.25, NO: 30000","SR0.1, NO: 50","SR:0.1, NO: 500","SR0.1, NO:1000","SR0.1, NO:10000","SR0.1, NO: 30000",,,,,,
ConfigurationNumber,CPUs,GBsMem,CPURate,MemoryRate,TotalRate,At SHC,tpr1,tpr2,tpr3,tpr4,tpr5,tpr6,tpr7,tpr8,tpr9,tpr10,tpr11,tpr12,tpr13,tpr14,tpr15,tpr16,tpr17,tpr18,tpr19,tpr20,HoursPerReplicate,CostPerReplicate,numTaxa,Reps,TotalHoursPerConfig,TotalCostPerConfig
109,10,12,0.1002,1.2024,1.3026,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,3.409108176,1,10,26.17156591,34.09108176
121,11,12,0.11022,1.32264,1.43286,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,3.750018993,1,10,26.17156591,37.50018993
133,12,12,0.12024,1.44288,1.56312,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,4.090929811,1,10,26.17156591,40.90929811
145,13,12,0.13026,1.56312,1.69338,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,4.431840628,1,10,26.17156591,44.31840628
157,14,12,0.14028,1.68336,1.82364,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,4.772751446,1,10,26.17156591,47.72751446
169,15,12,0.1503,1.8036,1.9539,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,5.113662263,1,10,26.17156591,51.13662263
181,16,12,0.16032,1.92384,2.08416,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.61,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,5.454573081,1,10,26.17156591,54.54573081
193,17,12,0.17034,2.04408,2.21442,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,5.795483898,1,10,26.17156591,57.95483898
205,18,12,0.18036,2.16432,2.34468,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,6.136394716,1,10,26.17156591,61.36394716
217,19,12,0.19038,2.28456,2.47494,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,6.477305534,1,10,26.17156591,64.77305534
229,20,12,0.2004,2.4048,2.6052,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,6.818216351,1,10,26.17156591,68.18216351
241,21,12,0.21042,2.52504,2.73546,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,7.159127169,1,10,26.17156591,71.59127169
253,22,12,0.22044,2.64528,2.86572,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,7.500037986,1,10,26.17156591,75.00037986
265,23,12,0.23046,2.76552,2.99598,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,7.840948804,1,10,26.17156591,78.40948804
277,24,12,0.24048,2.88576,3.12624,FALSE,7.733888889,30.1485,80.04046512,2355.911579,,7.608611111,32.71,81.37,2133.23,,9.252894737,38.42170732,83.5896875,2057.618095,,27.8865,73.36,141.0164516,2261.861,,2.617156591,8.181859621,1,10,26.17156591,81.81859621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
