CPU,Mem,CostPerCPU,CostPerGB,Rate,ExpectedHoursPerReplicate,CPR,Taxa,Replicates,TotalCostPerConfig,Experiment
4.00,24.00,0.01002,0.001560,0.077520,3,0.23256,1,10,2.3256,Normal
5.00,1.00,0.01002,0.001560,0.051660,3,0.15498,1,10,1.5498,Normal
5.00,2.00,0.01002,0.001560,0.053220,3,0.15966,1,10,1.5966,Normal
5.00,3.00,0.01002,0.001560,0.054780,3,0.16434,1,10,1.6434,Normal
5.00,4.00,0.01002,0.001560,0.056340,3,0.16902,1,10,1.6902,Normal
5.00,5.00,0.01002,0.001560,0.057900,3,0.1737,1,10,1.737,Normal
5.00,6.00,0.01002,0.001560,0.059460,3,0.17838,1,10,1.7838,Normal
5.00,7.00,0.01002,0.001560,0.061020,3,0.18306,1,10,1.8306,Normal
5.00,8.00,0.01002,0.001560,0.062580,3,0.18774,1,10,1.8774,Normal
5.00,10.00,0.01002,0.001560,0.065700,3,0.1971,1,10,1.971,Normal
5.00,12.00,0.01002,0.001560,0.068820,3,0.20646,1,10,2.0646,Normal
5.00,16.00,0.01002,0.001560,0.075060,3,0.22518,1,10,2.2518,Normal
5.00,24.00,0.01002,0.001560,0.087540,3,0.26262,1,10,2.6262,Normal
6.00,1.00,0.01002,0.001560,0.061680,3,0.18504,1,10,1.8504,Normal
6.00,2.00,0.01002,0.001560,0.063240,3,0.18972,1,10,1.8972,Normal
6.00,3.00,0.01002,0.001560,0.064800,3,0.1944,1,10,1.944,Normal
6.00,4.00,0.01002,0.001560,0.066360,3,0.19908,1,10,1.9908,Normal
6.00,5.00,0.01002,0.001560,0.067920,3,0.20376,1,10,2.0376,Normal
6.00,6.00,0.01002,0.001560,0.069480,3,0.20844,1,10,2.0844,Normal
6.00,7.00,0.01002,0.001560,0.071040,3,0.21312,1,10,2.1312,Normal
6.00,8.00,0.01002,0.001560,0.072600,3,0.2178,1,10,2.178,Normal
6.00,10.00,0.01002,0.001560,0.075720,3,0.22716,1,10,2.2716,Normal
6.00,12.00,0.01002,0.001560,0.078840,3,0.23652,1,10,2.3652,Normal
6.00,16.00,0.01002,0.001560,0.085080,3,0.25524,1,10,2.5524,Normal
6.00,24.00,0.01002,0.001560,0.097560,3,0.29268,1,10,2.9268,Normal
7.00,1.00,0.01002,0.001560,0.071700,3,0.2151,1,10,2.151,Normal
7.00,2.00,0.01002,0.001560,0.073260,3,0.21978,1,10,2.1978,Normal
7.00,3.00,0.01002,0.001560,0.074820,3,0.22446,1,10,2.2446,Normal
7.00,4.00,0.01002,0.001560,0.076380,3,0.22914,1,10,2.2914,Normal
7.00,5.00,0.01002,0.001560,0.077940,3,0.23382,1,10,2.3382,Normal
7.00,6.00,0.01002,0.001560,0.079500,3,0.2385,1,10,2.385,Normal
7.00,7.00,0.01002,0.001560,0.081060,3,0.24318,1,10,2.4318,Normal
7.00,8.00,0.01002,0.001560,0.082620,3,0.24786,1,10,2.4786,Normal
7.00,10.00,0.01002,0.001560,0.085740,3,0.25722,1,10,2.5722,Normal
7.00,12.00,0.01002,0.001560,0.088860,3,0.26658,1,10,2.6658,Normal
7.00,16.00,0.01002,0.001560,0.095100,3,0.2853,1,10,2.853,Normal
7.00,24.00,0.01002,0.001560,0.107580,3,0.32274,1,10,3.2274,Normal
8.00,1.00,0.01002,0.001560,0.081720,3,0.24516,1,10,2.4516,Normal
8.00,2.00,0.01002,0.001560,0.083280,3,0.24984,1,10,2.4984,Normal
8.00,3.00,0.01002,0.001560,0.084840,3,0.25452,1,10,2.5452,Normal
8.00,4.00,0.01002,0.001560,0.086400,3,0.2592,1,10,2.592,Normal
8.00,5.00,0.01002,0.001560,0.087960,3,0.26388,1,10,2.6388,Normal
